people,state,party,total_senate_years,total_house_years,total_years
Pat Danner,Missouri,Democratic,0,8,8
"George Darden, (Buddy)",Georgia,Democratic,0,12,12
"Thomas Daschle, A.",South Dakota,Democratic,18,8,26
Hal Daub,Nebraska,Republican,0,8,8
Sharice Davids,Kansas,Democratic,0,2,2
Warren Davidson,Ohio,Republican,0,5,5
Artur Davis,Alabama,Democratic,0,8,8
"Danny Davis, K.",Illinois,Democratic,0,24,24
David Davis,Tennessee,Republican,0,2,2
Geoff Davis,Kentucky,Republican,0,7,7
"Glenn Davis, R.",Wisconsin,Republican,0,20,20
Jack Davis,Illinois,Republican,0,2,2
Jim Davis,Florida,Democratic,0,10,10
"Jo Davis, Ann",Virginia,Republican,0,6,6
"John Davis, W.",Georgia,Democratic,0,14,14
