people,state,party,senate_years,house_years
"Lawrence Williams, G.",Pennsylvania,Republican,0,1967-1975
"Lyle Williams, ",Ohio,Republican,0,1979-1985
"Nikema Williams, ",Georgia,Democratic,0,2021-Present
"Pat Williams, ",Montana,Democratic,0,1979-1997
"Roger Williams, ",Texas,Republican,0,2013-Present
"Charles Wilson, ",Texas,Democratic,0,1973-1997
"Charles Wilson, A.",Ohio,Democratic,0,2007-2011
"Charles Wilson, H.",California,Democratic,0,1963-1981
"Frederica Wilson, S.",Florida,Democratic,0,2011-Present
"Heather Wilson, ",New Mexico,Republican,0,1997-2009
"Joe Wilson, ",South Carolina,Republican,0,2001-Present
"Pete Wilson, ",California,Republican,1983-1993,0
"Robert Wilson, C.",California,Republican,0,1953-1981
"Larry, Winn, Jr.",Kansas,Republican,0,1967-1985
"Timothy Wirth, ",Colorado,Democratic,1987-1993,1975-1987
"Robert Wise, ",West Virginia,Democratic,0,1983-2001
"Robert Wittman, J.",Virginia,Republican,0,2007-Present
"Harris Wofford, ",Pennsylvania,Democratic,1991-1995,0
"Frank Wolf, R.",Virginia,Republican,0,1981-2015
"Lester Wolff, L.",New York,Democratic,0,1965-1981
"Howard Wolpe, E.",Michigan,Democratic,0,1979-1993
"Steve Womack, ",Arkansas,Republican,0,2011-Present
"Pat, Won, ",Guam,Democratic,0,1973-1985
"Rob Woodall, ",Georgia,Republican,0,2011-2021
"Lynn Woolsey, C.",California,Democratic,0,1993-2013
"George Wortley, C.",New York,Republican,0,1981-1989
"James Wright, ",Texas,Democratic,0,1955-1991
"Ron Wright, ",Texas,Republican,0,2019-2021
"David Wu, ",Oregon,Democratic,0,1999-2011
"Joe, Wyatt, Jr.",Texas,Democratic,0,1979-1981
"Wendell Wyatt, ",Oregon,Republican,0,1963-1975
"Ron Wyden, ",Oregon,Democratic,1996-Present,1981-1996
"John Wydler, W.",New York,Republican,0,1963-1981
"Chalmers Wylie, P.",Ohio,Republican,0,1967-1993
"Louis Wyman, C.",New Hampshire,Republican,1974-1975,"1963-1965,"
"Albert Wynn, Russell",Maryland,Democratic,0,1993-2008
"John Yarmuth, A.",Kentucky,Democratic,0,2007-Present
"Sidney Yates, R.",Illinois,Democratic,0,"1949-1963,"
"Gus Yatron, ",Pennsylvania,Democratic,0,1969-1993
"Kevin Yoder, ",Kansas,Republican,0,2011-2019
"Ted Yoho, S.",Florida,Republican,0,2013-2021
"Andrew Young, ",Georgia,Democratic,0,1973-1979
"C. Young, ",Florida,Republican,0,1971-2013
"David Young, ",Iowa,Republican,0,2015-2019
"Don Young, ",Alaska,Republican,0,1973-Present
"Edward Young, ",South Carolina,Republican,0,1973-1975
"John Young, ",Texas,Democratic,0,1957-1979
"Milton Young, R.",North Dakota,Republican,1945-1981,0
"Robert Young, A.",Missouri,Democratic,0,1977-1987
"Samuel Young, H.",Illinois,Republican,0,1973-1975
"Todd Young, ",Indiana,Republican,2017-Present,2011-2017
"Clement Zablocki, J.",Wisconsin,Democratic,0,1949-1985
"Leo Zeferetti, C.",New York,Democratic,0,1975-1983
"Lee Zeldin, M.",New York,Republican,0,2015-Present
"William Zeliff, ",New Hampshire,Republican,0,1991-1997
"Dick Zimmer, ",New Jersey,Republican,0,1991-1997
"Ryan Zinke, K.",Montana,Republican,0,2015-2017
"Roger Zion, H.",Indiana,Republican,0,1967-1975
"Edward Zorinsky, ",Nebraska,Democratic,1977-1989,0
"Edwin Zschau, ",California,Republican,0,1983-1987
"John Zwach, M.",Minnesota,Republican,0,1967-1975
